ID,Name,Kategorie,Mineral_Primaer,Varietaet,Gesteinsart,Kristallsystem,Mohs_Haerte_min,Mohs_Haerte_max,Dichte_min_gcm3,Dichte_max_gcm3,Spaltbarkeit,Bruch,Glanz,Transparenz,Farbe_beobachtet,Strichfarbe,UV_365nm,UV_254nm,Magnetismus,HCl_Reaktion,Reaktionshinweis,Fundort,Funddatum,Foto_Uebersicht,Foto_UV395,Foto_UV365,Laenge_mm,Breite_mm,Hoehe_mm,Gewicht_g,Seltenheit_global_1_10,Seltenheit_Fundort_1_10,Nachfrage_1_10,Wert_CHF_roh,Wert_CHF_poliert,Wert_CHF_Schmuck,Wert_USD_Talisman,Marktwert_Industrie,Wissenschaftlicher_Wert_CHF,Beste_Verwendung,Pruefempfehlungen,Confidence_Prozent
OBJ-001,Objekt 1,Mineral-Korn,Quarz (Jaspis),Jaspis,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.55,2.7,keine,muschelig bis splittrig,wachsmatt,undurchsichtig,,weiß,meist keine,meist keine,nein,keine,Rote/gelbe Töne durch Eisenoxide.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-002,Objekt 2,Mineral-Korn,Quarz (Jaspis),Jaspis,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.55,2.7,keine,muschelig bis splittrig,wachsmatt,undurchsichtig,,weiß,meist keine,meist keine,nein,keine,Rote/gelbe Töne durch Eisenoxide.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-003,Objekt 3,Mineral-Korn,Quarz (Jaspis),Jaspis,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.55,2.7,keine,muschelig bis splittrig,wachsmatt,undurchsichtig,,weiß,meist keine,meist keine,nein,keine,Rote/gelbe Töne durch Eisenoxide.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-004,Objekt 4,Mineral-Korn,Quarz (Jaspis),Jaspis,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.55,2.7,keine,muschelig bis splittrig,wachsmatt,undurchsichtig,,weiß,meist keine,meist keine,nein,keine,Rote/gelbe Töne durch Eisenoxide.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-005,Objekt 5,Mineral-Korn,Quarz (Chalcedon),Chalcedon,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.58,2.64,keine,muschelig,wachsartig–glasig,durchscheinend,,weiß,gewöhnlich keine,gewöhnlich keine,nein,keine,Farben durch Eisen/Mangan; kann bandig sein (Achat).,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-006,Objekt 6,Mineral-Korn,Quarz (Jaspis),Jaspis,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.55,2.7,keine,muschelig bis splittrig,wachsmatt,undurchsichtig,,weiß,meist keine,meist keine,nein,keine,Rote/gelbe Töne durch Eisenoxide.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-007,Objekt 7,Mineral-Korn,Quarz (Jaspis),Jaspis,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.55,2.7,keine,muschelig bis splittrig,wachsmatt,undurchsichtig,,weiß,meist keine,meist keine,nein,keine,Rote/gelbe Töne durch Eisenoxide.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-008,Objekt 8,Mineral-Korn,Dolomit,,Geröll/Schotter,trigonal,3.5,4.0,2.83,2.9,vollkommen rhomboedrisch,muschelig–uneben,glasig–perlmutt,durchsichtig–undurchsichtig,,weiß,gelegentlich schwach (orange/pink),gelegentlich,nein,"kalt kaum, warm/pulver stark",Mit Calcit verwechselbar; Ritztest/HCl nötig.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",60
OBJ-009,Objekt 9,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-010,Objekt 10,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-011,Objekt 11,Mineral-Korn,Quarz (Chalcedon),Chalcedon,Geröll/Schotter,trigonal (mikrokristallin),6.5,7.0,2.58,2.64,keine,muschelig,wachsartig–glasig,durchscheinend,,weiß,gewöhnlich keine,gewöhnlich keine,nein,keine,Farben durch Eisen/Mangan; kann bandig sein (Achat).,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
OBJ-012,Objekt 12,Mineral-Korn,Quarz,Milchquarz,Geröll/Schotter,trigonal,7.0,7.0,2.6,2.66,keine,muschelig bis uneben,glasig,durchsichtig–undurchsichtig (Varietät),,weiß,meist keine Reaktion,meist keine Reaktion,nein,keine,Typisch für alpine Schotter; häufige Varietäten Milchquarz/Chalcedon.,,,,,,,,,,,,,,,,,,,Sammlung/Lehrzwecke,"Ritztest (Stahl vs. Glas), HCl-Test (kalt/warm), UV 365/254nm, Dichte grob via Wasserverdrängung.",80
