obj_id,source_path,dest_path,files,top_level_dirs
OBJ_0001,Stonebock/Datenbank/Objekt 1,objects/OBJ_0001,19,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, Übersicht"
OBJ_0002,Stonebock/Datenbank/Objekt 2,objects/OBJ_0002,10,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, Übersicht"
OBJ_0003,Stonebock/Datenbank/Objekt 3,objects/OBJ_0003,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, Übersicht"
OBJ_0004,Stonebock/Datenbank/Objekt 4,objects/OBJ_0004,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0005,Stonebock/Datenbank/Objekt 5,objects/OBJ_0005,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0006,Stonebock/Datenbank/Objekt 6,objects/OBJ_0006,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0007,Stonebock/Datenbank/Objekt 7,objects/OBJ_0007,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0008,Stonebock/Datenbank/Objekt 8,objects/OBJ_0008,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0009,Stonebock/Datenbank/Objekt 9,objects/OBJ_0009,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, Übersicht"
OBJ_0010,Stonebock/Datenbank/Objekt 10,objects/OBJ_0010,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0011,Stonebock/Datenbank/Objekt 11,objects/OBJ_0011,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0012,Stonebock/Datenbank/Objekt 12,objects/OBJ_0012,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0013,Stonebock/Datenbank/Objekt 13,objects/OBJ_0013,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0014,Stonebock/Datenbank/Objekt 14,objects/OBJ_0014,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0015,Stonebock/Datenbank/Objekt 15,objects/OBJ_0015,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0016,Stonebock/Datenbank/Objekt 16,objects/OBJ_0016,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0017,Stonebock/Datenbank/Objekt 17,objects/OBJ_0017,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0018,Stonebock/Datenbank/Objekt 18,objects/OBJ_0018,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0019,Stonebock/Datenbank/Objekt 19,objects/OBJ_0019,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0020,Stonebock/Datenbank/Objekt 20,objects/OBJ_0020,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0021,Stonebock/Datenbank/Objekt 21,objects/OBJ_0021,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0022,Stonebock/Datenbank/Objekt 22,objects/OBJ_0022,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0023,Stonebock/Datenbank/Objekt 23,objects/OBJ_0023,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0024,Stonebock/Datenbank/Objekt 24,objects/OBJ_0024,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0025,Stonebock/Datenbank/Objekt 25,objects/OBJ_0025,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0026,Stonebock/Datenbank/Objekt 26,objects/OBJ_0026,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0027,Stonebock/Datenbank/Objekt 27,objects/OBJ_0027,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0028,Stonebock/Datenbank/Objekt 28,objects/OBJ_0028,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0029,Stonebock/Datenbank/Objekt 29,objects/OBJ_0029,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0030,Stonebock/Datenbank/Objekt 30,objects/OBJ_0030,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0031,Stonebock/Datenbank/Objekt 31,objects/OBJ_0031,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0032,Stonebock/Datenbank/Objekt 32,objects/OBJ_0032,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0033,Stonebock/Datenbank/Objekt 33,objects/OBJ_0033,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0034,Stonebock/Datenbank/Objekt 34,objects/OBJ_0034,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0035,Stonebock/Datenbank/Objekt 35,objects/OBJ_0035,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0036,Stonebock/Datenbank/Objekt 36,objects/OBJ_0036,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0037,Stonebock/Datenbank/Objekt 37,objects/OBJ_0037,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0038,Stonebock/Datenbank/Objekt 38,objects/OBJ_0038,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0039,Stonebock/Datenbank/Objekt 39,objects/OBJ_0039,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0040,Stonebock/Datenbank/Objekt 40,objects/OBJ_0040,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0041,Stonebock/Datenbank/Objekt 41,objects/OBJ_0041,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0042,Stonebock/Datenbank/Objekt 42,objects/OBJ_0042,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0043,Stonebock/Datenbank/Objekt 43,objects/OBJ_0043,38,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, Übersicht"
OBJ_0044,Stonebock/Datenbank/Objekt 44,objects/OBJ_0044,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0045,Stonebock/Datenbank/Objekt 45,objects/OBJ_0045,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0046,Stonebock/Datenbank/Objekt 46,objects/OBJ_0046,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0047,Stonebock/Datenbank/Objekt 47,objects/OBJ_0047,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0048,Stonebock/Datenbank/Objekt 48,objects/OBJ_0048,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0049,Stonebock/Datenbank/Objekt 49,objects/OBJ_0049,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0050,Stonebock/Datenbank/Objekt 50,objects/OBJ_0050,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
OBJ_0051,Stonebock/Datenbank/Objekt 51,objects/OBJ_0051,2,"Kamera, Mikroskop, Sonderaufnahmen, UV 365 nm, UV 395 nm, ├£bersicht"
