ID,Name,Beschreibung,Mineralart,Fundort,UV-Reaktion,Härte,Dichte,Transparenz,Farbe,Wert_CHF_roh,Wert_CHF_poliert,Wert_CHF_Schmuck,Wert_USD_Talisman,Marktwert,Wissenschaftlicher_Wert,Seltenheit_global,Seltenheit_Fundort,Nachfrage,Inhaltsstoffe,Beste_Verwendung
OBJ-001,Objekt 1,"Rötlich, matt, feinkörnig",Jaspis / eisenoxidhaltiger Quarz,,,,,,,,,,,,,,,,,
OBJ-002,Objekt 2,"Rötlich-braun, dichter Bruch",Jaspis,,,,,,,,,,,,,,,,,
OBJ-003,Objekt 3,"Klein, rundlich, hellrot",Quarz mit Hämatit,,,,,,,,,,,,,,,,,
OBJ-004,Objekt 4,"Braun, unregelmäßig",Jaspis mit Oxidpatina,,,,,,,,,,,,,,,,,
OBJ-005,Objekt 5,"Rotbraun, rundlich",Chalcedon mit Eisen,,,,,,,,,,,,,,,,,
OBJ-006,Objekt 6,"Rötlich, glatt",Jaspis,,,,,,,,,,,,,,,,,
OBJ-007,Objekt 7,"Rotbraun, quarzig",Übergang Quarz–Jaspis,,,,,,,,,,,,,,,,,
OBJ-008,Objekt 8,"Hellbeige, rau",Kalkspat oder Dolomit,,,,,,,,,,,,,,,,,
OBJ-009,Objekt 9,Bräunlich mit Einschlüssen,Quarz mit Feldspat,,,,,,,,,,,,,,,,,
OBJ-010,Objekt 10,"Hell, fast weiß",Milchquarz,,,,,,,,,,,,,,,,,
OBJ-011,Objekt 11,"Bräunlich, halbtransparent",Chalcedon,,,,,,,,,,,,,,,,,
OBJ-012,Objekt 12,"Rosa-weiß, kleiner Splitter",Quarz mit Eisen,,,,,,,,,,,,,,,,,
OBJ-013,Objekt 13,"Blassrosa, abgerundet",Milchquarz,,,,,,,,,,,,,,,,,
OBJ-014,Objekt 14,"Braun, länglich",Hornstein,,,,,,,,,,,,,,,,,
OBJ-015,Objekt 15,"Hellgrau, glatt",Chalcedon,,,,,,,,,,,,,,,,,
OBJ-016,Objekt 16,"Gelblich, rau",Dolomit,,,,,,,,,,,,,,,,,
OBJ-017,Objekt 17,"Weißlich, matt",Milchquarz,,,,,,,,,,,,,,,,,
OBJ-018,Objekt 18,"Hell, leicht transparent",Quarz,,,,,,,,,,,,,,,,,
OBJ-019,Objekt 19,Orange-Ton,"Jaspis, evtl. Karneol",,,,,,,,,,,,,,,,,
OBJ-020,Objekt 20,"Bräunlich, kantig",Hornstein/Jaspis,,,,,,,,,,,,,,,,,
OBJ-021,Objekt 21,"Weiß, homogen",Milchquarz,,,,,,,,,,,,,,,,,
OBJ-022,Objekt 22,"Klein, rosa",Quarz,,,,,,,,,,,,,,,,,
OBJ-023,Objekt 23,"Hellbeige, rundlich",Dolomit oder Calcit,,,,,,,,,,,,,,,,,
OBJ-024,Objekt 24,"Weißlich, transluzent",Chalcedon,,,,,,,,,,,,,,,,,
OBJ-025,Objekt 25,"Gelblich, kleiner Splitter",Chert,,,,,,,,,,,,,,,,,
OBJ-026,Objekt 26,"Blass, homogen",Milchquarz,,,,,,,,,,,,,,,,,
OBJ-027,Objekt 27,"Rosa-weiß, leicht porös",Dolomit mit Quarz,,,,,,,,,,,,,,,,,
OBJ-028,Objekt 28,"Klein, rundlich, beige",Quarz,,,,,,,,,,,,,,,,,
OBJ-029,Objekt 29,"Weiß, matt",Milchquarz,,,,,,,,,,,,,,,,,
OBJ-030,Objekt 30,"Gelb-bräunlich, transluzent",Chalcedon/Jaspis,,,,,,,,,,,,,,,,,
OBJ-031,Objekt 31,"Hell, leicht rosa",Quarz mit Hämatit,,,,,,,,,,,,,,,,,
OBJ-032,Objekt 32,"Klein, abgerundet",Quarz,,,,,,,,,,,,,,,,,
OBJ-033,Objekt 33,"Gelblich, kantig",Calcit oder Dolomit,,,,,,,,,,,,,,,,,
OBJ-034,Objekt 34,"Weiß, homogen",Milchquarz,,,,,,,,,,,,,,,,,
OBJ-035,Objekt 35,Blassrosa,Quarz mit Hämatit,,,,,,,,,,,,,,,,,
OBJ-036,Objekt 36,"Hellbraun, matt",Quarz/Jaspis,,,,,,,,,,,,,,,,,
OBJ-037,Objekt 37,Gelblich-braun,Eisenhaltiger Chert,,,,,,,,,,,,,,,,,
OBJ-038,Objekt 38,"Beige, kompakt",Dolomit,,,,,,,,,,,,,,,,,
OBJ-039,Objekt 39,"Weiß, sehr homogen",Milchquarz,,,,,,,,,,,,,,,,,
OBJ-040,Objekt 40,"Weißlich, leicht gemasert",Chalcedon,,,,,,,,,,,,,,,,,
OBJ-041,Objekt 41,"Dunkler Splitter, graubraun",Hornstein,,,,,,,,,,,,,,,,,
OBJ-042,Objekt 42,"Braun, sehr klein",Quarz mit Eisen,,,,,,,,,,,,,,,,,
